RegionName,StateName,HousingPrice,RentPrice,RentToPriceRatio
United States,,358695.400157448,2214.8267100291905,0.006174672741989445
"New York, NY",NY,691747.7752969455,3509.75020490912,0.005073742670733556
"Los Angeles, CA",CA,994897.480685742,4279.602358956283,0.004301551106558767
"Chicago, IL",IL,338506.1143511796,2366.4016980338297,0.006990720692208328
"Dallas, TX",TX,371494.29663912655,2328.9290805012565,0.0062690843481874575
"Houston, TX",TX,308583.12273179763,2135.5780012152136,0.006920592358744561
"Washington, DC",VA,596299.2912328927,3074.61816879978,0.005156166062922498
"Philadelphia, PA",PA,369719.1540831321,2153.725676949124,0.005825301862680489
"Miami, FL",FL,573003.1215530491,3456.8417797007096,0.006032849821710216
"Atlanta, GA",GA,384375.47664555867,2186.782227273351,0.0056891824794791275
"Boston, MA",MA,726036.489481184,3481.398634414374,0.004795073918257379
"Phoenix, AZ",AZ,462712.3462386744,2287.037035825894,0.0049426756264813465
"San Francisco, CA",CA,1227563.5480674508,3975.505040245189,0.0032385329838962823
"Riverside, CA",CA,585463.1785067369,3022.2046928973537,0.00516207475354076
"Detroit, MI",MI,252686.06046231935,1541.5571750623303,0.0061006815027384855
"Seattle, WA",WA,770877.4612742619,3204.300379406283,0.00415669226352729
"Minneapolis, MN",MN,381600.6355281848,2309.058080808081,0.006050980700312631
"San Diego, CA",CA,992991.7033104196,4011.2942847027393,0.004039605035298837
"Tampa, FL",FL,388069.6677807059,2388.073505188144,0.006153723682773422
"Denver, CO",CO,598492.9643506071,2868.586037139068,0.004793015470535428
"Baltimore, MD",MD,392425.6287035405,2255.854655250239,0.005748489625162666
"St. Louis, MO",MO,255679.59469271565,1562.2670012633578,0.0061102529638352365
"Orlando, FL",FL,409877.2072226808,2427.1635315228127,0.005921684564919384
"Charlotte, NC",NC,382159.2388633545,2070.911064572426,0.005418974223237095
"San Antonio, TX",TX,282325.3939721529,1846.4460468017376,0.0065401344909975095
"Portland, OR",OR,554912.903977601,2635.222455929487,0.004748893812056418
"Sacramento, CA",CA,583831.4057780782,2748.8768072391777,0.004708340079060531
"Pittsburgh, PA",PA,214886.91638644284,1559.275052496105,0.007256258681156631
"Cincinnati, OH",OH,293186.3137208828,1980.5964427197025,0.006755419165320439
"Austin, TX",TX,451259.3770779588,2309.0709355689,0.005116948373507126
"Las Vegas, NV",NV,449315.5839300887,2202.7579016683994,0.004902473852345032
"Kansas City, MO",MO,303591.469732556,1671.4328146806176,0.005505532866760187
"Columbus, OH",OH,329505.84872654633,1904.1470254697492,0.005778795832695468
"Indianapolis, IN",IN,281931.4261806943,1745.2488160293317,0.0061903308888693175
"Cleveland, OH",OH,236101.51415362972,1528.628778164499,0.0064744556325455425
"San Jose, CA",CA,1702742.6775042338,4294.918190872561,0.0025223530528804064
"Nashville, TN",TN,443843.359126622,2284.0536359441026,0.005146080456038761
"Virginia Beach, VA",VA,355303.9474716184,2073.4790789559133,0.005835789592857091
"Providence, RI",RI,497177.3872677113,2997.97077154524,0.00602998215188525
"Jacksonville, FL",FL,362914.059223864,2009.5219919653107,0.005537184192486008
"Milwaukee, WI",WI,355251.5341792504,1579.924479097837,0.0044473403408319965
"Oklahoma City, OK",OK,234126.86223314636,1488.7031190227788,0.006358531886615856
"Raleigh, NC",NC,442911.31955916405,2067.995528301205,0.004669096130483887
"Memphis, TN",TN,237050.98762477929,1604.9167389226084,0.006770344030217591
"Richmond, VA",VA,368515.5830321536,2050.0576945929884,0.005563014941525871
"Louisville, KY",KY,262590.5634918653,1600.1072447167026,0.006093544350714156
"New Orleans, LA",LA,242912.66643565035,1827.5559419869664,0.007523510275538068
"Salt Lake City, UT",UT,557412.7563377257,2444.626327376327,0.004385666276168203
"Hartford, CT",CT,382029.2153121757,2437.123076923077,0.006379415445835939
"Buffalo, NY",NY,262272.6239753392,1775.016469038208,0.006767829757196116
"Birmingham, AL",AL,250317.0417387868,1505.4816636005887,0.006014299518494642
"Rochester, NY",NY,253765.4331336748,1944.367452440033,0.007662065823660892
"Grand Rapids, MI",MI,324564.13345664536,1888.5338345864664,0.005818676926724354
"Tucson, AZ",AZ,355676.0286233113,1908.6132737752705,0.005366156614947591
"Urban Honolulu, HI",HI,1047582.7782809762,3286.4274556246387,0.003137152999992496
"Tulsa, OK",OK,238087.6698642456,1572.9619950662966,0.006606650382034392
"Fresno, CA",CA,401795.83376085246,2340.8710184708643,0.005826021132573871
"Worcester, MA",MA,464781.0459815587,2624.238215488216,0.005646181655162287
"Omaha, NE",NE,287406.7549203694,1845.8075323571763,0.006422283056181427
"Bridgeport, CT",CT,699569.7438001452,4157.973015873016,0.005943614704212931
"Greenville, SC",SC,295723.20899397746,1786.4624505928853,0.0060409950800624085
"Albuquerque, NM",NM,336293.6591526259,2059.306630163622,0.00612353689734308
"Bakersfield, CA",CA,358100.5322605423,2116.8680996006583,0.00591137937226101
"Albany, NY",NY,332931.21090193425,2101.603174603175,0.006312424626425931
"Knoxville, TN",TN,344655.77181351493,2073.204502346012,0.006015290245792761
"Baton Rouge, LA",LA,239780.97947670464,1660.7666943036168,0.006926181959586852
"McAllen, TX",TX,183890.87502216524,1683.7179487179485,0.00915607122166884
"New Haven, CT",CT,392123.3315102472,2907.722222222222,0.007415325711487881
"El Paso, TX",TX,219251.1879196208,1669.834234884324,0.007616078392681266
"Allentown, PA",PA,333963.04907876253,2069.734001331242,0.006197494025283952
"Oxnard, CA",CA,892659.8956309957,3868.072851531184,0.004333198870547393
